Name,Montesinos fraction
"[11_253(0,0), K11a338(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 4)]"
"[11_254(0,0), K11a40(0,0)]","[(0, 1), (1, 2), (2, 3), (9, 5)]"
"[11_255(0,0), K11n140(0,0)]","[(0, 1), (2, 3), (2, 3), (-1, 5)]"
"[11_256(0,0), K11a7(0,0)]","[(0, 1), (1, 2), (3, 5), (4, 5)]"
"[11_257(0,0), K11n14(0,0)]","[(0, 1), (1, 2), (3, 5), (-1, 5)]"
"[11_258(0,0), K11a60(0,0)]","[(0, 1), (1, 2), (2, 5), (4, 5)]"
"[11_259(0,0), K11n15(0,0)]","[(0, 1), (1, 2), (-3, 5), (4, 5)]"
"[11_260(0,0), K11a221(0,0)]","[(0, 1), (1, 2), (1, 3), (9, 5)]"
"[11_261(0,0), K11a201(0,0)]","[(0, 1), (2, 3), (1, 3), (4, 5)]"
"[11_263(0,0), K11a37(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 9)]"
"[11_264(0,0), K11n63(0,0)]","[(0, 1), (1, 2), (2, 3), (-4, 9)]"
"[11_265(0,0), K11a258(0,0)]","[(0, 1), (1, 2), (1, 3), (5, 9)]"
"[11_267(0,0), K11a45(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 9)]"
"[11_268(0,0), K11n62(0,0)]","[(0, 1), (1, 2), (2, 3), (-5, 9)]"
"[11_269(0,0), K11a260(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 9)]"
"[11_271(0,0), K11a55(0,0)]","[(0, 1), (1, 2), (2, 3), (6, 5)]"
"[11_272(0,0), K11a214(0,0)]","[(0, 1), (2, 3), (2, 3), (1, 5)]"
"[11_273(0,0), K11a9(0,0)]","[(0, 1), (1, 2), (3, 5), (1, 5)]"
"[11_275(0,0), K11a62(0,0)]","[(0, 1), (1, 2), (2, 5), (1, 5)]"
"[11_277(0,0), K11a240(0,0)]","[(0, 1), (1, 2), (1, 3), (6, 5)]"
"[11_279(0,0), K11a362(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 5)]"
"[8_15(0,0), K8a2(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3)]"
"[8_19(0,0), K8n3(0,0)]","[(0, 1), (1, 2), (-2, 3), (1, 3)]"
"[9_16(0,0), K9a25(0,0)]","[(0, 1), (1, 2), (1, 3), (4, 3)]"
"[9_22(0,0), K9a2(0,0)]","[(0, 1), (1, 2), (1, 3), (3, 5)]"
"[9_24(0,0), K9a7(0,0)]","[(0, 1), (1, 2), (2, 3), (4, 3)]"
"[9_25(0,0), K9a4(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 5)]"
"[9_28(0,0), K9a5(0,0)]","[(0, 1), (1, 2), (2, 3), (5, 3)]"
"[9_30(0,0), K9a1(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5)]"
"[9_36(0,0), K9a9(0,0)]","[(0, 1), (1, 2), (1, 3), (2, 5)]"
"[9_37(0,0), K9a18(0,0)]","[(0, 1), (2, 3), (2, 3), (1, 3)]"
"[9_48(0,0), K9n6(0,0)]","[(0, 1), (2, 3), (2, 3), (-1, 3)]"
"[K12a1027(0,0)]","[(0, 1), (1, 3), (1, 4), (4, 5)]"
"[K12a1028(0,0)]","[(0, 1), (1, 3), (3, 4), (4, 5)]"
"[K12a1031(0,0)]","[(0, 1), (1, 3), (1, 4), (4, 7)]"
"[K12a1032(0,0)]","[(0, 1), (1, 3), (3, 4), (4, 7)]"
"[K12a104(0,0)]","[(0, 1), (1, 2), (2, 3), (19, 7)]"
"[K12a106(0,0)]","[(0, 1), (1, 2), (2, 3), (16, 7)]"
"[K12a110(0,0)]","[(0, 1), (1, 2), (2, 3), (8, 19)]"
"[K12a112(0,0)]","[(0, 1), (1, 2), (2, 3), (15, 11)]"
"[K12a113(0,0)]","[(0, 1), (1, 2), (2, 3), (3, 5), (2, 3)]"
"[K12a1137(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 7)]"
"[K12a114(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 5), (2, 3)]"
"[K12a1142(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 9)]"
"[K12a1144(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 11)]"
"[K12a1147(0,0)]","[(0, 1), (1, 3), (1, 3), (11, 4)]"
"[K12a116(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 5), (1, 3)]"
"[K12a1160(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 5)]"
"[K12a1164(0,0)]","[(0, 1), (1, 3), (1, 3), (9, 4)]"
"[K12a117(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (2, 5)]"
"[K12a118(0,0)]","[(0, 1), (1, 2), (2, 3), (17, 5)]"
"[K12a119(0,0)]","[(0, 1), (1, 2), (2, 3), (2, 3), (5, 3)]"
"[K12a12(0,0)]","[(0, 1), (1, 2), (3, 5), (9, 7)]"
"[K12a121(0,0)]","[(0, 1), (1, 2), (2, 3), (13, 9)]"
"[K12a1214(0,0)]","[(0, 1), (1, 2), (1, 5), (1, 5)]"
"[K12a122(0,0)]","[(0, 1), (1, 2), (2, 3), (1, 3), (2, 5)]"
"[K12a1233(0,0)]","[(0, 1), (1, 3), (3, 4), (1, 5)]"
"[K12a1234(0,0)]","[(0, 1), (1, 3), (3, 4), (3, 7)]"
"[K12a124(0,0)]","[(0, 1), (1, 2), (2, 5), (7, 9)]"
"[K12a1242(0,0)]","[(0, 1), (1, 3), (1, 4), (1, 5)]"
"[K12a1243(0,0)]","[(0, 1), (1, 3), (1, 4), (3, 7)]"
"[K12a128(0,0)]","[(0, 1), (1, 2), (2, 5), (2, 9)]"
"[K12a1283(0,0)]","[(0, 1), (1, 3), (1, 3), (5, 6)]"
"[K12a1284(0,0)]","[(0, 1), (1, 3), (1, 3), (7, 10)]"
"[K12a1285(0,0)]","[(0, 1), (1, 3), (1, 3), (3, 10)]"
"[K12a1286(0,0)]","[(0, 1), (1, 3), (1, 3), (1, 6)]"
"[K12a130(0,0)]","[(0, 1), (1, 2), (2, 5), (9, 7)]"
"[K12a141(0,0)]","[(0, 1), (1, 2), (2, 3), (14, 11)]"
"[K12a142(0,0)]","[(0, 1), (1, 2), (2, 3), (18, 11)]"
"[K12a143(0,0)]","[(0, 1), (1, 2), (2, 3), (6, 7)]"
"[K12a144(0,0)]","[(0, 1), (1, 2), (2, 3), (10, 13)]"
"[K12a145(0,0)]","[(0, 1), (1, 2), (2, 3), (10, 17)]"
