Name,Montesinos?,Montesinos fraction
11a_305,N,n/a
11a_306,N,n/a
11a_307,N,n/a
11a_308,N,n/a
11a_309,N,n/a
11a_310,N,n/a
11a_311,N,n/a
11a_312,N,n/a
11a_313,N,n/a
11a_314,N,n/a
11a_315,N,n/a
11a_316,N,n/a
11a_317,N,n/a
11a_318,N,n/a
11a_319,N,n/a
11a_320,N,n/a
11a_321,N,n/a
11a_322,N,n/a
11a_323,N,n/a
11a_324,N,n/a
11a_325,N,n/a
11a_326,N,n/a
11a_327,N,n/a
11a_328,N,n/a
11a_329,N,n/a
11a_330,N,n/a
11a_331,N,n/a
11a_332,N,n/a
11a_333,N,n/a
11a_334,N,n/a
11a_335,N,n/a
11a_336,N,n/a
11a_337,N,n/a
11a_338,Y,"[1/3, 1/3, 5/4]"
11a_339,N,n/a
11a_340,Y,"[1/3, 1/3, 7/4]"
11a_341,N,n/a
11a_342,N,n/a
11a_343,N,n/a
11a_344,N,n/a
11a_345,N,n/a
11a_346,N,n/a
11a_347,N,n/a
11a_348,N,n/a
11a_349,N,n/a
11a_350,N,n/a
11a_351,N,n/a
11a_352,N,n/a
11a_353,N,n/a
11a_354,N,n/a
11a_355,N,n/a
11a_356,N,n/a
11a_357,N,n/a
11a_358,N,n/a
11a_359,N,n/a
11a_360,N,n/a
11a_361,Y,"[1/3, 1/3, 3/7]"
11a_362,Y,"[1/3, 1/3, 1/5]"
11a_363,N,n/a
11a_364,N,n/a
11a_365,N,n/a
11a_366,Y,"[1/3, 1/3, 7/3]"
11a_367,N,n/a
11n_1,Y,"[1/2, 3/5, -5/7]"
11n_2,Y,"[1/2, 3/5, -2/7]"
11n_3,Y,"[1/2, -3/5, 5/7]"
11n_4,N,n/a
11n_5,N,n/a
11n_6,N,n/a
11n_7,N,n/a
11n_8,N,n/a
11n_9,N,n/a
11n_10,N,n/a
11n_11,N,n/a
11n_12,Y,"[1/2, -3/5, 2/7]"
11n_13,Y,"[1/2, 3/5, -4/5]"
11n_14,Y,"[1/2, 3/5, -1/5]"
11n_15,Y,"[1/2, -3/5, 4/5]"
11n_16,Y,"[1/2, 3/5, -4/7]"
11n_17,Y,"[1/2, 3/5, -3/7]"
11n_18,Y,"[1/2, -3/5, 4/7]"
