Name,Unknotting,Genus,Bridge,Nakanishi,Tunnel,Symmetry type,Symmetry group,Montesinos?,Montesinos fractions
11a_88,1,4,3,1,2,reversible,D1,Y,"['1/3', '3/5', '3/4']"
11a_89,2,3,2,1,1,reversible,D2,N,['n/a']
11a_90,2,3,2,1,1,reversible,D2,N,['n/a']
11a_91,1,3,2,1,1,reversible,D2,N,['n/a']
11a_92,2,4,3,1,1,reversible,D1,Y,"['1/2', '1/3', '8/11']"
11a_93,2,3,2,1,1,reversible,D2,N,['n/a']
11a_94,3,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '12/7']"
11a_95,2,2,2,1,1,reversible,D2,N,['n/a']
11a_96,1,3,2,1,1,reversible,D2,N,['n/a']
11a_97,2,3,3,2,2,reversible,D1,Y,"['1/3', '3/5', '1/4']"
11a_98,1,2,2,1,1,reversible,D2,N,['n/a']
11a_99,2,4,3,1,2,reversible,D1,N,['n/a']
11a_100,2,3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '5/8']"
11a_101,1,3,3,1,2,chiral,1,N,['n/a']
11a_102,2,3,3,"[1, 2]",2,chiral,1,N,['n/a']
11a_103,2,2,3,1,2,chiral,Z2,Y,"['2/3', '1/3', '2/7']"
11a_104,1,3,3,1,2,chiral,Z2,Y,"['2/3', '3/5', '2/5']"
11a_105,[2; 3],3,3,1,2,reversible,D1,Y,"['2/3', '2/5', '3/4']"
11a_106,1,4,3,1,2,reversible,D2,Y,"['2/3', '2/3', '5/4']"
11a_107,2,3,3,2,2,reversible,D2,Y,"['2/3', '2/3', '7/4']"
11a_108,2,4,3,1,2,reversible,D1,Y,"['2/3', '1/3', '3/8']"
11a_109,2,4,3,1,2,reversible,D1,Y,"['2/3', '1/3', '5/8']"
11a_110,2,3,2,1,1,reversible,D2,N,['n/a']
11a_111,2,3,2,1,1,reversible,D2,N,['n/a']
11a_112,2,4,3,1,2,chiral,1,N,['n/a']
11a_113,2,4,3,"[1, 2]",2,chiral,1,N,['n/a']
11a_114,1,3,3,1,2,chiral,1,N,['n/a']
11a_115,2,3,3,"[1, 2]",2,chiral,1,N,['n/a']
11a_116,2,3,3,1,2,chiral,1,N,['n/a']
11a_117,2,3,2,1,1,reversible,D2,N,['n/a']
11a_118,2,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '7/9']"
11a_119,2,2,2,1,1,reversible,D4,N,['n/a']
11a_120,2,3,2,1,1,reversible,D2,N,['n/a']
11a_121,1,3,2,1,1,reversible,D4,N,['n/a']
11a_122,1,3,3,1,2,chiral,1,N,['n/a']
11a_123,3,2,3,2,2,reversible,D1,N,['n/a']
11a_124,3,3,3,"[1, 2]",2,reversible,D1,N,['n/a']
11a_125,2,4,3,1,2,chiral,1,N,['n/a']
11a_126,[2; 3],4,3,1,2,reversible,D1,N,['n/a']
11a_127,2,4,3,1,2,chiral,1,N,['n/a']
11a_128,2,3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '5/7']"
11a_129,2,4,3,1,2,chiral,1,N,['n/a']
11a_130,2,3,3,"[1, 2]",2,chiral,1,N,['n/a']
11a_131,2,4,3,1,2,chiral,1,N,['n/a']
11a_132,2,3,3,2,2,chiral,1,N,['n/a']
11a_133,2,2,3,2,2,reversible,D1,Y,"['2/3', '2/5', '1/4']"
11a_134,2,3,3,1,2,reversible,D2,Y,"['2/3', '2/3', '3/8']"
11a_135,2,3,3,2,2,reversible,D1,N,['n/a']
11a_136,1,3,3,1,2,chiral,1,N,['n/a']
11a_137,[2; 3],3,3,1,2,chiral,1,N,['n/a']
11a_138,1,3,3,1,2,chiral,1,N,['n/a']
11a_139,1,4,3,1,2,reversible,D1,Y,"['2/3', '1/3', '7/4']"
11a_140,2,3,2,1,1,reversible,D2,N,['n/a']
11a_141,2,3,3,1,2,chiral,1,N,['n/a']
11a_142,3,4,3,1,2,reversible,D1,Y,"['1/3', '2/5', '1/4']"
11a_143,2,3,3,2,2,reversible,D1,Y,"['1/3', '2/5', '3/4']"
11a_144,[2; 3],3,2,1,1,reversible,D2,N,['n/a']
11a_145,2,2,2,"[1, 2]",1,reversible,D2,N,['n/a']
11a_146,1,4,3,1,2,chiral,1,N,['n/a']
11a_147,2,4,3,1,2,chiral,1,N,['n/a']
11a_148,2,2,3,"[1, 2]",2,reversible,D1,N,['n/a']
11a_149,1,3,3,1,2,chiral,1,N,['n/a']
11a_150,2,3,3,1,2,chiral,1,N,['n/a']
11a_151,2,4,3,1,2,chiral,1,N,['n/a']
11a_152,2,3,3,1,2,chiral,1,N,['n/a']
11a_153,2,3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '9/7']"
11a_154,2,2,2,1,1,reversible,D2,N,['n/a']
11a_155,2,3,3,2,2,reversible,D1,N,['n/a']
11a_156,2,4,3,1,2,chiral,1,N,['n/a']
11a_157,2,4,3,2,2,chiral,1,N,['n/a']
11a_158,2,4,3,1,2,reversible,D1,N,['n/a']
11a_159,2,3,2,1,1,reversible,D2,N,['n/a']
11a_160,1,4,3,1,2,reversible,D1,N,['n/a']
11a_161,[2; 3],3,3,1,1,reversible,D1,Y,"['1/2', '1/3', '2/9']"
11a_162,2,4,3,1,2,chiral,1,N,['n/a']
11a_163,2,4,3,1,2,chiral,1,N,['n/a']
11a_164,2,4,3,1,2,chiral,1,N,['n/a']
11a_165,2,3,3,2,2,reversible,D1,Y,"['2/3', '1/3', '5/4']"
11a_166,2,2,2,1,1,reversible,D2,N,['n/a']
11a_167,1,3,3,1,2,chiral,1,N,['n/a']
11a_168,1,3,3,1,2,chiral,1,N,['n/a']
11a_169,2,3,3,1,2,chiral,1,N,['n/a']
11a_170,2,4,3,1,2,reversible,D1,N,['n/a']
11a_171,2,4,3,1,2,reversible,D1,N,['n/a']
11a_172,2,3,3,1,2,chiral,1,N,['n/a']
11a_173,2,3,3,2,2,reversible,D1,N,['n/a']
11a_174,2,4,2,1,1,reversible,D2,N,['n/a']
11a_175,2,4,2,1,1,reversible,D4,N,['n/a']
11a_176,2,4,2,1,1,reversible,D2,N,['n/a']
11a_177,2,4,2,1,1,reversible,D2,N,['n/a']
11a_178,2,3,2,1,1,reversible,D2,N,['n/a']
11a_179,2,4,2,1,1,reversible,D4,N,['n/a']
11a_180,1,4,2,1,1,reversible,D2,N,['n/a']
11a_181,2,3,3,2,2,reversible,D2,Y,"['2/3', '2/3', '7/3']"
11a_182,2,4,2,1,1,reversible,D2,N,['n/a']
11a_183,2,3,2,1,1,reversible,D2,N,['n/a']
11a_184,1,4,2,1,1,reversible,D2,N,['n/a']
11a_185,2,3,2,1,1,reversible,D2,N,['n/a']
11a_186,3,3,2,1,1,reversible,D4,N,['n/a']
